timestamp,scenario,pid,cpu_percent,rss_kb,vsz_kb,elapsed
2026-09-03T10:50:30+0700,Smoke,18038,0.0,68880,436213168,00:04
2026-09-03T10:50:31+0700,Smoke,18038,0.0,68880,436213168,00:05
2026-09-03T10:50:32+0700,Smoke,18038,0.0,68880,436213168,00:06
2026-09-03T10:50:33+0700,Smoke,18038,0.0,68880,436213168,00:07
2026-09-03T10:50:34+0700,Smoke,18038,0.0,68880,436213168,00:08
2026-09-03T10:50:35+0700,Smoke,18038,0.0,68880,436213168,00:09
2026-09-03T10:50:36+0700,Smoke,18038,0.0,68880,436213168,00:10
2026-09-03T10:50:37+0700,Smoke,18038,0.0,68880,436213168,00:11
2026-09-03T10:50:38+0700,Smoke,18038,0.0,68880,436213168,00:12
2026-09-03T10:50:39+0700,Smoke,18038,0.0,68880,436213168,00:13
2026-09-03T10:50:40+0700,Smoke,18038,0.0,68880,436213168,00:14
2026-09-03T10:50:41+0700,Smoke,18038,0.0,68880,436213168,00:15
2026-09-03T10:50:42+0700,Smoke,18038,0.0,68880,436213168,00:16
2026-09-03T10:50:43+0700,Smoke,18038,0.0,68880,436213168,00:17
2026-09-03T10:50:44+0700,Smoke,18038,0.0,68880,436213168,00:18
2026-09-03T10:50:45+0700,Smoke,18038,0.0,68880,436213168,00:19
2026-09-03T10:50:46+0700,Smoke,18038,0.0,68880,436213168,00:20
2026-09-03T10:50:47+0700,Smoke,18038,0.0,68880,436213168,00:21
2026-09-03T10:50:48+0700,Smoke,18038,0.0,68880,436213168,00:22
2026-09-03T10:50:49+0700,Smoke,18038,0.0,68880,436213168,00:23
2026-09-03T10:50:50+0700,Smoke,18038,0.0,68880,436213168,00:24
2026-09-03T10:50:51+0700,Smoke,18038,0.0,68880,436213168,00:25
2026-09-03T10:50:52+0700,Smoke,18038,0.8,70688,436214240,00:26
2026-09-03T10:50:53+0700,Smoke,18038,0.2,70848,436214240,00:27
2026-09-03T10:50:54+0700,Smoke,18038,0.0,70848,436214240,00:28
